TYPES OF PADDY,X,Y,PERIOD,STARTING DURATION,ENDING DURATION,AVERAGE YIELD(Kg/ha),1000 GRAIN WEIGHT(g),GRAIN TYPE,HABIT,RICE COLOR,SPECIAL FEATURES,STARTING MONTH,ENDING MONTH,DISTRICT,RAINFALL ACTUAL(in mm),RAINFALL NORMAL(in mm),TMAX (°F),TMIN (°F)
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Pudukottai,277.7,350.6,95,79
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Madurai,273.8,335.9,94,94
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Dindigal,267,295.4,93,75
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Theni,474,158.4,89,73
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Ramanathapuram,96.5,149.3,91,81
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Virudhunagar,265.4,419,92,75
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Tirunelveli,519.8,467.2,90,75
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Thoothukudi,348.8,427,89,77
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Coimbatore,325.1,328.9,86,72
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Erode,227.9,314.6,94,77
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,April,May,Kanchipuram,397,490.8,100,78
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,April,May,Tiruvallur,9.5,67.2,99,79
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,April,May,Cuddalore,5.6,81.7,93,81
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,April,May,Villupuram,257.1,408.3,97,79
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Tiruchirapalli,143.2,293.9,98,81
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Karur,164.4,213.6,96,79
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Perembalur,180,290.7,98,81
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Thanjavur,151,318,98,82
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Nagapattinam,164.8,286.1,94,84
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Tiruvarur,181.7,296.4,96,84
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,June,July,Pudukottai,277.7,350.6,97,81
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Madurai,273.8,335.9,98,79
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Dindigal,267,295.4,97,78
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Theni,474,158.4,95,76
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Tirunelveli,344.5,142.4,93,76
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Thoothukudi,57.9,74.9,92,80
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Kanyakumari,402.8,496.4,89,79
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Dharmapuri,170.6,393.4,96,77
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Krishnagiri,222.2,399,95,77
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Coimbatore,652.3,189.8,92,75
ADTRH 1,IR 58025 A,IR 66 R,Hybrid,110,115,6400,23.8,Long slender,"Semi dwarf, erect","White milky, scented",High yield potential,May,June,Erode,282.9,229.8,99,80
